1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
259	-1.743028	292.562393	0.024289	11.4
260	-0.918406	292.075870	0.006761	8.2
261	-1.439932	291.591498	0.018693	7.8
262	-1.741633	291.109263	0.033489	7.9
263	-1.514247	290.629149	0.018997	8.0
264	-1.005471	290.151140	0.007695	10.3
265	-1.074332	289.675222	0.008434	9.0
266	-0.553580	289.201380	0.015879	8.6
267	-1.179713	288.729600	0.010214	7.9
268	-0.258229	288.259866	0.005375	7.9
269	-1.211781	287.792165	0.015934	11.7
270	-0.764274	287.326481	0.015086	7.5
271	-1.518401	286.862802	0.035125	10.3
272	-1.626194	286.401113	0.037335	8.3
273	-1.155731	285.941400	0.012545	10.3
274	-1.101724	285.483649	0.013642	9.8
275	-1.078889	285.027847	0.018887	8.1
276	-1.377344	284.573981	0.024116	7.7
277	-1.261958	284.122037	0.017135	9.6
278	-0.792107	283.672002	0.013533	10.4
279	-0.721831	283.223863	0.009682	8.9
280	-0.868649	282.777607	0.012642	8.4
281	-0.445323	282.333221	0.003645	10.5
282	-1.190159	281.890692	0.022930	12.2
283	-1.452049	281.450008	0.021597	11.2
284	-0.689301	281.011157	0.007895	9.7
285	-1.698852	280.574125	0.014983	10.4
286	-0.764684	280.138901	0.020903	10.3
287	-1.163209	279.705473	0.016995	8.8
288	-1.681690	279.273829	0.029211	8.8
289	-0.473635	278.843956	0.013129	9.0
290	-1.487106	278.415844	0.021492	9.0
291	-0.462405	277.989479	0.004461	10.0
292	-1.740637	277.564851	0.015920	8.8
293	-1.297248	277.141949	0.020020	8.7
294	-1.019334	276.720761	0.013048	10.4
295	-1.714361	276.301275	0.015536	9.6
296	-0.762459	275.883480	0.005656	8.7
297	-1.059389	275.467366	0.021415	7.9
298	-1.199416	275.052922	0.018056	12.8
299	-0.494533	274.640136	0.014534	7.8
300	-1.593662	274.228998	0.044081	8.0
301	-1.489011	273.819497	0.013879	8.4
302	-0.330486	273.411623	0.006095	8.5
